"name"	"package"	"extends"	"abstract"	"backend"	"tags"	"label"	"description"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"age_group"	"lifelines"	""	"false"	""	""	"age_group"																	
"assessment"	"lifelines"	""	"false"	""	""	"assessment"																	
"gender_group"	"lifelines"	""	"false"	""	""	"gender_group"																	
"section"	"lifelines"	""	"false"	""	""	"section"																	
"sub_section"	"lifelines"	""	"false"	""	""	"sub_section"																	
"subsection_variable"	"lifelines"	""	"false"	""	""	"subsection_variable"																	
"tree"	"lifelines"	""	"false"	""	""	"tree"																	
"variable"	"lifelines"	""	"false"	""	""	"variable"																	
"variant"	"lifelines"	""	"false"	""	""	"variant"																	
"who"	"lifelines"	""	"false"	""	""	"who"																	
"who_when"	"lifelines"	""	"false"	""	""	"who_when"																	
